序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
377,websocket_text_json,QT_Return,addFwhmNow,hub_to_browser,"QT_Return.message = ""addFwhmNow:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=addFwhmNow; 详见 App.vue case 分支,"if (parts.length >= 2) { const fwhm = parseFloat(parts[1]); console.log('Received addFwhmNow:', fwhm); this.$bus.$emit('addFwhmNow', fwhm); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,addFwhmNow,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> addFwhmNow,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「addFwhmNow」。,"parts[0]: 与 Qt 约定的下行关键字「addFwhmNow」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length >= 2) { const fwhm = parseFloat(parts[1]); console.log('Received addFwhmNow:', fwhm); this.$bus.$emit('addFwhmNow', fwhm); } break;",normal,
378,websocket_text_json,QT_Return,Box_Space,hub_to_browser,"QT_Return.message = ""Box_Space:<segments...>""（部分消息 payload 含额外 ':' 需 join）",后端返回盒子可用空间（字节），转发给内存设置面板,"// 后端返回盒子可用空间（字节），转发给内存设置面板 if (parts.length === 2) { const bytes = parts[1]; this.$bus.$emit('Box_Space', bytes); if (bytes < 1024 * 1024 * 1024) { this.callShowMessageBox(this.$t('Box space is less than 1GB, please clear the cache'), 'warning'); } } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,Box_Space,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> Box_Space,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「Box_Space」。,"parts[0]: 与 Qt 约定的下行关键字「Box_Space」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端返回盒子可用空间（字节），转发给内存设置面板。 代码摘要：// 后端返回盒子可用空间（字节），转发给内存设置面板 if (parts.length === 2) { const bytes = parts[1]; this.$bus.$emit('Box_Space', bytes); if (bytes < 1024 * 1024 * 1024) { this.callShowMessageBox(this.$t('Box space is less than 1GB, please clear the cache'), '...",normal,
379,websocket_text_json,QT_Return,ClearLogs,hub_to_browser,"QT_Return.message = ""ClearLogs:<segments...>""（部分消息 payload 含额外 ':' 需 join）",后端清理日志完成回执,"// 后端清理日志完成回执 if (parts.length >= 2 && parts[1] === 'Success') { this.SendConsoleLogMsg('Logs cleared successfully', 'info'); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""ClearLogs""",App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ClearLogs」。,"parts[0]: 与 Qt 约定的下行关键字「ClearLogs」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端清理日志完成回执。 代码摘要：// 后端清理日志完成回执 if (parts.length >= 2 && parts[1] === 'Success') { this.SendConsoleLogMsg('Logs cleared successfully', 'info'); } break;",normal,
380,websocket_text_json,QT_Return,ClearBoxCache,hub_to_browser,"QT_Return.message = ""ClearBoxCache:<segments...>""（部分消息 payload 含额外 ':' 需 join）",后端清理缓存完成回执,"// 后端清理缓存完成回执 if (parts.length >= 2 && parts[1] === 'Success') { this.SendConsoleLogMsg('Box cache cleared successfully', 'info'); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""ClearBoxCache""",App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ClearBoxCache」。,"parts[0]: 与 Qt 约定的下行关键字「ClearBoxCache」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端清理缓存完成回执。 代码摘要：// 后端清理缓存完成回执 if (parts.length >= 2 && parts[1] === 'Success') { this.SendConsoleLogMsg('Box cache cleared successfully', 'info'); } break;",normal,
381,websocket_text_json,QT_Return,FocuserLimit,hub_to_browser,"QT_Return.message = ""FocuserLimit:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=FocuserLimit; 详见 App.vue case 分支,"if (parts.length === 3) { const FocuserMinLimit = parts[1]; const FocuserMaxLimit = parts[2]; let item = this.FocuserConfigItems.find(i => i.label === 'Min Limit'); if (item) { item.value = FocuserMinLimit; } else { this.FocuserConfigItems.push({ driverType: 'Focuser', label: 'Min Limit', value: FocuserMinLimit, inp...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,setFocusChartRange,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> setFocusChartRange,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocuserLimit」。,parts[0]: 与 Qt 约定的下行关键字「FocuserLimit」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const FocuserMinLimit = parts[1]; const FocuserMaxLimit = parts[2]; let item = this.FocuserConfigItems.find(i => i.label === 'Min Limit'); if (item) { item.value = FocuserMinLimit; } else { this.FocuserConfigIte...,normal,
382,websocket_text_json,QT_Return,FocuserRangeReset,hub_to_browser,"QT_Return.message = ""FocuserRangeReset:<segments...>""（部分消息 payload 含额外 ':' 需 join）",电调范围重置警告（当设备初始化时检测到本地保存的范围不合理）,"// 电调范围重置警告（当设备初始化时检测到本地保存的范围不合理） if (parts.length === 2) { const message = parts[1]; // 显示警告消息框 this.callShowMessageBox(this.$t('focuser.range_reset_warning', { message }), 'warning'); // 同时在控制台输出 this.SendConsoleLogMsg(this.$t('focuser.range_reset_warning', { message }), 'warning'); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocuserRangeReset」。,"parts[0]: 与 Qt 约定的下行关键字「FocuserRangeReset」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：电调范围重置警告（当设备初始化时检测到本地保存的范围不合理）。 代码摘要：// 电调范围重置警告（当设备初始化时检测到本地保存的范围不合理） if (parts.length === 2) { const message = parts[1]; // 显示警告消息框 this.callShowMessageBox(this.$t('focuser.range_reset_warning', { message }), 'warning'); // 同时在控制台输出 this.SendConsoleLogMsg(this.$t('focuser...",normal,
383,websocket_text_json,QT_Return,FocuserParameters,hub_to_browser,"QT_Return.message = ""FocuserParameters:<segments...>""（部分消息 payload 含额外 ':' 需 join）",后端格式（兼容）:,// 后端格式（兼容）: // - 旧: FocuserParameters:<minLimit>:<maxLimit>:<backlash>:<coarseDivisions> // - 新: FocuserParameters:<minLimit>:<maxLimit>:<backlash>:<coarseDivisions>:<stepsPerClick> if (parts.length === 5 || parts.length === 6) { const FocuserMinLimit = parts[1]; const FocuserMaxLimit = parts[2]; const FocuserBackl...,messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,setFocusChartRange|focusMoveStep,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> setFocusChartRange|focusMoveStep,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocuserParameters」。,parts[0]: 与 Qt 约定的下行关键字「FocuserParameters」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：后端格式（兼容）:。 代码摘要：// 后端格式（兼容）: // - 旧: FocuserParameters:<minLimit>:<maxLimit>:<backlash>:<coarseDivisions> // - 新: FocuserParameters:<minLimit>:<maxLimit>:<backlash>:<coarseDivisions>:<stepsPerClick> if (parts.length === 5 || parts.length === 6) { const ...,normal,
384,websocket_text_json,QT_Return,updateAutoFocuserState,hub_to_browser,"QT_Return.message = ""updateAutoFocuserState:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=updateAutoFocuserState; 详见 App.vue case 分支,"if (parts.length === 2) { const autoFocusState = parts[1]; this.$bus.$emit('updateAutoFocuserState', autoFocusState == 'true'); // 更新自动对焦按钮状态 } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,updateAutoFocuserState,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> updateAutoFocuserState,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「updateAutoFocuserState」。,"parts[0]: 与 Qt 约定的下行关键字「updateAutoFocuserState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const autoFocusState = parts[1]; this.$bus.$emit('updateAutoFocuserState', autoFocusState == 'true'); // 更新自动对焦按钮状态 } break;",high,
385,websocket_text_json,QT_Return,AutoFocusConfirm,hub_to_browser,"QT_Return.message = ""AutoFocusConfirm:<segments...>""（部分消息 payload 含额外 ':' 需 join）",[AUTO_FOCUS_UI_ENHANCEMENT],"// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 2) { const question = parts[1]; console.log('AutoFocusConfirm:', question); this.ShowConfirmDialog('自动对焦', question, 'startAutoFocus'); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusConfirm」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusConfirm」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：[AUTO_FOCUS_UI_ENHANCEMENT]。 代码摘要：// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 2) { const question = parts[1]; console.log('AutoFocusConfirm:', question); this.ShowConfirmDialog('自动对焦', question, 'startAutoFocus'); } break;",high,
386,websocket_text_json,QT_Return,AutoFocusStepChanged,hub_to_browser,"QT_Return.message = ""AutoFocusStepChanged:<segments...>""（部分消息 payload 含额外 ':' 需 join）",[AUTO_FOCUS_UI_ENHANCEMENT],"// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 3) { const step = parts[1]; const description = parts[2]; console.log('AutoFocusStepChanged:', step, description); this.$bus.$emit('UpdateAutoFocusStep', step, description); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,UpdateAutoFocusStep,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> UpdateAutoFocusStep,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusStepChanged」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusStepChanged」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：[AUTO_FOCUS_UI_ENHANCEMENT]。 代码摘要：// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 3) { const step = parts[1]; const description = parts[2]; console.log('AutoFocusStepChanged:', step, description); this.$bus.$emit('UpdateAutoFocusStep', step, description); } break;",high,
387,websocket_text_json,QT_Return,AutoFocusCancelled,hub_to_browser,"QT_Return.message = ""AutoFocusCancelled:<segments...>""（部分消息 payload 含额外 ':' 需 join）",[AUTO_FOCUS_UI_ENHANCEMENT],"// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 2) { const reason = parts[1]; console.log('AutoFocusCancelled:', reason); this.callShowMessageBox(reason, 'info'); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusCancelled」。,"parts[0]: 与 Qt 约定的下行关键字「AutoFocusCancelled」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：[AUTO_FOCUS_UI_ENHANCEMENT]。 代码摘要：// [AUTO_FOCUS_UI_ENHANCEMENT] if (parts.length >= 2) { const reason = parts[1]; console.log('AutoFocusCancelled:', reason); this.callShowMessageBox(reason, 'info'); } break;",high,
